org_id,ein,name,category,ntee_major,ntee_full,city,state
org_000217,133062419,Intrepid Museum Foundation Inc,"Arts, Culture & Humanities",A,A500,New York,NY
org_000218,952211661,Public Media Group Of Southern California,"Arts, Culture & Humanities",A,A320,Burbank,CA
org_000219,626063304,Memphis Brooks Museum Of Art Inc,"Arts, Culture & Humanities",A,A110,Memphis,TN
org_000220,412017278,Hennepin Theatre Tr,"Arts, Culture & Humanities",A,A65,Minneapolis,MN
org_000221,910640788,Seattle Art Museum,"Arts, Culture & Humanities",A,A510,Seattle,WA
org_000222,741157373,Houston Symphony Society,"Arts, Culture & Humanities",A,A690,Houston,TX
org_000223,410693875,Minnesota Orchestral Association,"Arts, Culture & Humanities",A,A690,Minneapolis,MN
org_000224,311728910,Navy Seal Foundation Inc,"Arts, Culture & Humanities",A,A54,Virginia Bch,VA
org_000225,592048869,Jorge M Perez Art Museum Of Miami Dade County Inc,"Arts, Culture & Humanities",A,A510,Miami,FL
org_000226,831772542,American Journalism Project Inc,"Arts, Culture & Humanities",A,A30,Washington,DC
org_000227,751104793,Broadway Dallas Inc,"Arts, Culture & Humanities",A,A610,Dallas,TX
org_000228,412024986,Common Sense Media,"Arts, Culture & Humanities",A,A99,San Francisco,CA
org_000229,131240132,Fox Theatre Inc,"Arts, Culture & Humanities",A,A800,Atlanta,GA
org_000230,430662485,Municipal Theatre Association Of St Louis,"Arts, Culture & Humanities",A,A650,Saint Louis,MO
org_000231,910897129,Pacific Northwest Ballet Association,"Arts, Culture & Humanities",A,A630,Seattle,WA
org_000232,880361875,The Smith Center For The Performing Arts,"Arts, Culture & Humanities",A,A61,Las Vegas,NV
org_000233,852458469,Cp 2023,"Arts, Culture & Humanities",A,A11,Philadelphia,PA
org_000234,756067569,Perot Museum Of Nature And Science,"Arts, Culture & Humanities",A,A560,Dallas,TX
org_000235,746045327,Menil Foundation Inc,"Arts, Culture & Humanities",A,A51,Houston,TX
org_000236,133118415,Statue Of Liberty Ellis Island Foundation Inc,"Arts, Culture & Humanities",A,A800,New York,NY
org_000237,316402408,Columbus Symphony Orchestra Inc,"Arts, Culture & Humanities",A,A690,Columbus,OH
org_000238,311127916,Radiant Life Ministries,"Arts, Culture & Humanities",A,A30Z,Marion,IL
org_000239,410706172,Science Museum Of Minnesota,"Arts, Culture & Humanities",A,A560,Saint Paul,MN
org_000240,410854160,Guthrie Theatre Foundation,"Arts, Culture & Humanities",A,A650,Minneapolis,MN
org_000241,463062871,Nc History Center On The Civil War Emancipation & Reconstruction,"Arts, Culture & Humanities",A,A54,Fayetteville,NC
org_000242,222302253,Liberty Science Center Inc,"Arts, Culture & Humanities",A,A570,Jersey City,NJ
org_000243,881571567,American Independent Media,"Arts, Culture & Humanities",A,A30,Washington,DC
org_000244,363687394,Chicago Public Media Inc,"Arts, Culture & Humanities",A,A340,Chicago,IL
org_000245,340898576,National Football Museum Inc,"Arts, Culture & Humanities",A,A500,Canton,OH
org_000246,310749884,Columbus Association For The Performing Arts Inc,"Arts, Culture & Humanities",A,A610,Columbus,OH
org_000247,941704765,Asian Art Museum Foundation Of San Francisco,"Arts, Culture & Humanities",A,A510,San Francisco,CA
org_000248,526072925,American Film Institute Inc,"Arts, Culture & Humanities",A,A310,Los Angeles,CA
org_000249,850131810,The Santa Fe Opera,"Arts, Culture & Humanities",A,A6A,Santa Fe,NM
org_000250,430654866,Missouri Historical Society Jefferson Memorial Building,"Arts, Culture & Humanities",A,A540,Saint Louis,MO
org_000251,390921093,Wisconsin History Foundation Inc,"Arts, Culture & Humanities",A,A118,Madison,WI
org_000252,454083198,Bethel Woods Center For The Arts Inc,"Arts, Culture & Humanities",A,A20,Liberty,NY
org_000253,390946025,Milwaukee Repertory Theater Inc,"Arts, Culture & Humanities",A,A650,Milwaukee,WI
org_000254,590624432,Norton Museum Of Art Inc,"Arts, Culture & Humanities",A,A510,West Palm Bch,FL
org_000255,10645482,Overture Center Foundation Inc,"Arts, Culture & Humanities",A,A11,Madison,WI
org_000256,232280560,Artsquest,"Arts, Culture & Humanities",A,A200,Bethlehem,PA
org_000257,262817642,Kenneth Noland Foundation,"Arts, Culture & Humanities",A,A20,Port Clyde,ME
org_000258,364135679,National Board Of Osteopathic Medical Examiners Inc,"Arts, Culture & Humanities",A,A99,Chicago,IL
org_000259,50377244,Providence Performing Arts Center,"Arts, Culture & Humanities",A,A610,Providence,RI
org_000260,760428914,The Hobby Center Foundation,"Arts, Culture & Humanities",A,A116,Houston,TX
org_000261,530205923,National Society Of The Daughters Of The American Revolution,"Arts, Culture & Humanities",A,A800,Washington,DC
org_000262,236000149,Barnes Foundation,"Arts, Culture & Humanities",A,A510,Philadelphia,PA
org_000263,833097307,Pmml North Inc,"Arts, Culture & Humanities",A,A54,Kenosha,WI
org_000264,953964928,Simon Wiesenthal Center Inc,"Arts, Culture & Humanities",A,A540,Los Angeles,CA
org_000265,742324052,Public Broadcasting Of Colorado Inc,"Arts, Culture & Humanities",A,A340,Centennial,CO
org_000266,311212634,Cincinnati Museum Center,"Arts, Culture & Humanities",A,A500,Cincinnati,OH
org_000267,455316035,World Trade Center Performing Arts Center Inc,"Arts, Culture & Humanities",A,A60,New York,NY
org_000268,951543396,Old Globe Theatre,"Arts, Culture & Humanities",A,A650,San Diego,CA
org_000269,232773714,Museum Of The American Revolution,"Arts, Culture & Humanities",A,A54,Philadelphia,PA
org_000270,742060976,Cullen Trust For The Performing Arts,"Arts, Culture & Humanities",A,A126,Houston,TX
org_000271,364993121,Legacy Foundation,"Arts, Culture & Humanities",A,A12,Montgomery,AL
org_000272,900884353,Shed Nyc Inc,"Arts, Culture & Humanities",A,A20,New York,NY
org_000273,43317597,Wang Theatre Inc,"Arts, Culture & Humanities",A,A610,Boston,MA
org_000274,930407022,Oregon Shakespeare Festival Association,"Arts, Culture & Humanities",A,A650,Ashland,OR
